[INFO   | api_client           | L43] 2025-05-30T07:47:41+0530: fetch_api_data(date=05-29-2025, range_param=2) | api_client.py
[INFO   | api_client           | L57] 2025-05-30T07:47:56+0530: API response status code: 200 | api_client.py
[INFO   | api_client           | L122] 2025-05-30T07:47:56+0530: Fetched raw data for 05-29-2025 in 15.62996 seconds | api_client.py
[INFO   | data_cleaner           | L20] 2025-05-30T07:47:56+0530: Starting clean_and_parse_data | data_cleaner.py
[INFO   | data_cleaner           | L27] 2025-05-30T07:48:25+0530: clean_and_parse_data produced 3960 records | data_cleaner.py
[INFO   | api_client           | L127] 2025-05-30T07:48:25+0530: Cleaned raw data for 05-29-2025 in 29.219915 seconds | api_client.py
[INFO   | main           | L55] 2025-05-30T07:48:40+0530: Parsed CLI args: Namespace(mode='daily', date=None, startdate='05-28-2025', enddate='05-29-2025', range=None, db_write=False, override=True, retain_file=False, debug=False, delay=120, use_db_params=False, db_host=None, db_org=None, log_run=False) | main.py
[INFO   | run_tracker           | L17] 2025-05-30T07:48:40+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\db\testdb.db | run_tracker.py
[INFO   | run_tracker           | L38] 2025-05-30T07:48:40+0530: Tables in DB: <MagicMock name='connect().cursor().fetchall()' id='1716158998352'> | run_tracker.py
[INFO   | run_tracker           | L40] 2025-05-30T07:48:40+0530: Initialized database at db/testdb.db with runs table. | run_tracker.py
[INFO   | run_tracker           | L61] 2025-05-30T07:48:40+0530: Resolved absolute DB path: E:\Personal\MarketResearch\EvonithSteel\BlastFurnaceProject\PythonBlastFurnace\dailydatafeed\testdb.db | run_tracker.py
[INFO   | utils           | L42] 2025-05-30T07:48:40+0530: check_existing_data called (stub) | utils.py
[INFO   | utils           | L20] 2025-05-30T07:48:40+0530: daterange called with start_date=05-27-2025, end_date=05-29-2025 | utils.py
[INFO   | utils           | L31] 2025-05-30T07:48:40+0530: daterange generated 3 dates | utils.py
